transaction_id,account_id,transaction_date,transaction_type,amount,merchant,location,channel,is_fraud
81,ACC00531,2025-05-27 06:02:00,Deposit,145.52,DMart,Bangalore,POS,0
82,ACC00037,2025-07-04 07:41:00,Purchase,259.07,Zomato,Mumbai,Online,0
83,ACC00362,2025-12-09 12:25:00,Deposit,794.64,Electronics Store,Kolkata,Online,0
84,ACC00942,2025-02-16 17:18:00,Deposit,107.96,Uber,Hyderabad,POS,0
85,ACC00284,2025-04-26 19:12:00,Payment,80.76,Zomato,Kolkata,Branch,0
86,ACC00519,2025-02-24 17:04:00,Deposit,109.75,Flipkart,Hyderabad,Mobile,0
87,ACC00980,2025-05-12 17:52:00,Deposit,452.78,BookMyShow,Ahmedabad,Mobile,0
88,ACC00789,2025-05-05 10:49:00,Payment,251.83,Myntra,Kolkata,Branch,0
89,ACC00070,2025-07-15 20:50:00,Withdrawal,106.72,BookMyShow,Hyderabad,Online,0
90,ACC00529,2025-10-02 00:44:00,Transfer,302.86,Flipkart,Chennai,Online,0
91,ACC00767,2025-06-25 02:35:00,Withdrawal,199.75,Uber,Hyderabad,Branch,0
92,ACC00588,2025-05-18 05:47:00,Withdrawal,477.54,Swiggy,Bangalore,Branch,0
93,ACC00894,2025-05-16 06:14:00,Withdrawal,89.83,Walmart,Hyderabad,Online,0
94,ACC00123,2025-02-10 21:42:00,Payment,130.63,Travel Agency,Kolkata,POS,0
95,ACC00981,2025-01-22 15:23:00,Deposit,122.47,DMart,Ahmedabad,Mobile,0
96,ACC00503,2025-04-04 16:17:00,Payment,41.95,Amazon,Delhi,Online,0
97,ACC00434,2025-09-02 17:02:00,Deposit,243.74,Local Store,Pune,Mobile,0
98,ACC00469,2025-03-03 22:33:00,Payment,235.35,Amazon,Kolkata,Mobile,0
99,ACC00389,2025-10-25 03:20:00,Transfer,182.2,Walmart,Chennai,POS,0
100,ACC00243,2025-05-18 15:39:00,Transfer,143.37,Myntra,Delhi,Mobile,0
101,ACC00430,2025-12-25 11:23:00,Payment,44.02,Walmart,Ahmedabad,Mobile,0
102,ACC00590,2025-12-18 07:52:00,Purchase,119.03,Reliance,Bangalore,Mobile,0
103,ACC00391,2025-04-11 04:51:00,Withdrawal,128.67,Walmart,Kolkata,Branch,0
104,ACC00138,2025-11-19 16:34:00,Transfer,81.27,Zomato,Chennai,Branch,0
105,ACC00582,2025-01-25 12:06:00,Withdrawal,154.27,Zomato,Bangalore,ATM,0
106,ACC00645,2025-02-19 14:47:00,Transfer,271.52,Uber,Hyderabad,Mobile,0
107,ACC00955,2025-05-12 11:01:00,Payment,1195.34,Local Store,Hyderabad,ATM,0
108,ACC00204,2025-10-23 18:41:00,Deposit,215.85,Uber,Chennai,Online,0
109,ACC00523,2025-09-07 23:28:00,Purchase,234.52,Myntra,Chennai,Branch,0
110,ACC00149,2025-03-27 20:51:00,Transfer,168.27,Flipkart,Pune,Branch,0
111,ACC00352,2025-04-27 10:20:00,Transfer,26.61,Zomato,Pune,Mobile,0
112,ACC00800,2025-07-05 23:37:00,Deposit,176.53,Walmart,Pune,Branch,0
113,ACC00024,2025-03-06 23:15:00,Transfer,192.53,Walmart,Bangalore,ATM,0
114,ACC00098,2025-02-02 15:35:00,Purchase,2128.65,Reliance,Pune,ATM,0
115,ACC00086,2025-02-23 08:39:00,Withdrawal,149.55,Zomato,Pune,ATM,0
116,ACC00756,2025-05-26 14:40:00,Withdrawal,245.07,Amazon,Delhi,Online,0
117,ACC00366,2025-06-16 15:29:00,Deposit,175.09,Walmart,Ahmedabad,Mobile,0
118,ACC00715,2025-10-04 05:37:00,Deposit,56.34,Reliance,Pune,Branch,0
119,ACC00547,2025-06-08 11:30:00,Deposit,568.4,Myntra,Mumbai,Online,0
120,ACC00423,2025-05-14 04:19:00,Purchase,384.5,Uber,Delhi,ATM,0
121,ACC00548,2025-01-05 22:59:00,Payment,399.83,Amazon,Chennai,Branch,0
122,ACC00818,2025-05-30 19:14:00,Purchase,73.01,Swiggy,Hyderabad,POS,0
123,ACC00575,2025-08-12 12:15:00,Withdrawal,737.15,Swiggy,Pune,Branch,0
124,ACC00433,2025-11-17 07:33:00,Deposit,44.62,Local Store,Chennai,Mobile,0
125,ACC00829,2025-05-18 13:12:00,Purchase,325.99,Zomato,Delhi,Online,0
126,ACC00467,2025-11-13 14:17:00,Deposit,1620.44,Uber,Bangalore,Branch,0
127,ACC00051,2025-10-01 00:11:00,Purchase,67.32,Walmart,Chennai,Mobile,0
128,ACC00745,2025-01-05 07:05:00,Withdrawal,102.89,Swiggy,Ahmedabad,ATM,0
129,ACC00320,2025-09-13 11:29:00,Purchase,200.27,Travel Agency,Mumbai,Mobile,0
130,ACC00058,2025-05-17 12:04:00,Deposit,109.57,Swiggy,Delhi,Branch,0
131,ACC00257,2025-07-15 00:07:00,Withdrawal,38.45,Swiggy,Ahmedabad,Branch,0
132,ACC00035,2025-04-12 14:47:00,Purchase,194.14,Myntra,Bangalore,POS,0
133,ACC00985,2025-06-09 10:10:00,Purchase,62.66,Zomato,Mumbai,POS,0
134,ACC00306,2025-04-12 11:56:00,Purchase,291.08,Swiggy,Mumbai,Online,0
135,ACC00333,2025-01-08 05:50:00,Transfer,72.28,BookMyShow,Mumbai,POS,0
136,ACC00010,2025-01-22 18:50:00,Payment,854.0,Uber,Delhi,POS,0
137,ACC00255,2025-03-22 15:05:00,Deposit,82.83,Amazon,Kolkata,Mobile,0
138,ACC00158,2025-12-26 17:50:00,Purchase,131.36,Swiggy,Ahmedabad,Online,0
139,ACC00572,2025-11-27 11:51:00,Payment,408.92,Electronics Store,Kolkata,Online,0
140,ACC00742,2025-03-10 08:57:00,Purchase,52.94,Reliance,Ahmedabad,Branch,0
141,ACC00714,2025-09-08 06:36:00,Withdrawal,227.57,Uber,Hyderabad,POS,0
142,ACC00282,2025-11-03 17:10:00,Purchase,669.91,Myntra,Delhi,POS,0
143,ACC00270,2025-10-05 11:29:00,Purchase,36.33,Electronics Store,Pune,POS,0
144,ACC00020,2025-11-14 11:49:00,Deposit,218.03,Electronics Store,Hyderabad,Online,0
145,ACC00991,2025-10-03 12:12:00,Deposit,235.07,DMart,Delhi,Branch,0
146,ACC00420,2025-11-25 10:07:00,Purchase,396.16,Amazon,Mumbai,POS,0
147,ACC00133,2025-04-02 01:12:00,Purchase,52.62,Flipkart,Bangalore,Branch,0
148,ACC00658,2025-07-18 21:31:00,Deposit,48.4,Amazon,Chennai,POS,0
149,ACC00621,2025-02-06 00:59:00,Withdrawal,305.5,Myntra,Mumbai,Branch,0
150,ACC00063,2025-07-04 17:47:00,Payment,243.96,DMart,Kolkata,Mobile,0
151,ACC00042,2025-02-06 09:04:00,Withdrawal,232.87,Flipkart,Mumbai,POS,0
152,ACC00545,2025-07-17 06:12:00,Deposit,256.33,Reliance,Delhi,Online,0
153,ACC00426,2025-02-24 20:36:00,Transfer,91.83,Flipkart,Pune,Branch,0
154,ACC00185,2025-10-09 12:32:00,Transfer,228.66,Uber,Ahmedabad,Online,0
155,ACC00564,2025-06-16 11:26:00,Payment,243.0,DMart,Bangalore,Mobile,0
156,ACC00385,2025-10-09 23:16:00,Transfer,88.73,BookMyShow,Ahmedabad,Branch,1
157,ACC00036,2025-05-26 19:01:00,Deposit,1171.19,Amazon,Chennai,Online,0
158,ACC00228,2025-04-20 10:01:00,Transfer,291.15,Flipkart,Delhi,POS,0
159,ACC00365,2025-03-21 04:16:00,Transfer,55.08,Swiggy,Bangalore,POS,0
160,ACC00308,2025-02-17 18:25:00,Deposit,349.52,Electronics Store,Mumbai,Online,0
161,ACC00495,2025-03-30 15:52:00,Deposit,68.4,Amazon,Chennai,ATM,0
162,ACC00591,2025-07-15 02:49:00,Purchase,398.25,BookMyShow,Hyderabad,Mobile,0
163,ACC00889,2025-03-03 07:47:00,Deposit,577.43,Amazon,Pune,ATM,0
164,ACC00043,2025-06-13 17:36:00,Withdrawal,79.78,Walmart,Bangalore,Mobile,0
165,ACC00750,2025-07-21 14:48:00,Deposit,475.03,Swiggy,Mumbai,POS,0
166,ACC00806,2025-07-21 04:08:00,Transfer,273.9,DMart,Ahmedabad,ATM,0
167,ACC00562,2025-07-24 08:05:00,Payment,412.43,Travel Agency,Pune,POS,0
168,ACC00781,2025-03-11 15:35:00,Withdrawal,1208.09,Local Store,Pune,Branch,0
169,ACC00575,2025-11-12 23:33:00,Withdrawal,141.83,Zomato,Mumbai,Online,0
170,ACC00332,2025-12-17 18:05:00,Purchase,85.31,Uber,Pune,Branch,0
171,ACC00329,2025-06-26 19:41:00,Purchase,74.48,Uber,Delhi,Mobile,0
172,ACC00823,2025-08-15 19:09:00,Payment,80.17,Swiggy,Bangalore,ATM,0
173,ACC00160,2025-02-13 03:47:00,Purchase,167.82,Zomato,Delhi,Online,1
174,ACC00711,2025-02-26 09:28:00,Payment,254.97,Swiggy,Hyderabad,ATM,0
175,ACC00217,2025-04-15 17:33:00,Transfer,239.05,DMart,Ahmedabad,POS,0
176,ACC00145,2025-12-22 22:42:00,Purchase,414.55,Zomato,Kolkata,Branch,0
177,ACC00291,2025-04-13 22:39:00,Transfer,183.64,Local Store,Ahmedabad,ATM,0
178,ACC00069,2025-07-18 21:17:00,Transfer,775.52,Zomato,Kolkata,ATM,0
179,ACC00665,2025-07-17 07:24:00,Deposit,139.12,Myntra,Hyderabad,ATM,0
180,ACC00545,2025-02-15 05:12:00,Deposit,2752.24,Amazon,Kolkata,Branch,0
181,ACC00543,2025-06-06 10:31:00,Payment,338.89,Uber,Kolkata,Online,0
182,ACC00364,2025-11-17 09:15:00,Deposit,76.93,Local Store,Kolkata,Mobile,0
183,ACC00397,2025-01-16 17:17:00,Withdrawal,62.12,BookMyShow,Hyderabad,Online,0
184,ACC00090,2025-07-15 16:43:00,Deposit,293.67,Swiggy,Pune,Online,0
185,ACC00437,2025-06-09 19:21:00,Payment,144.97,Swiggy,Delhi,POS,0
186,ACC00595,2025-10-05 21:51:00,Withdrawal,370.18,Electronics Store,Chennai,Online,0
187,ACC00537,2025-03-11 13:58:00,Withdrawal,290.98,Uber,Delhi,POS,0
188,ACC00546,2025-03-02 05:20:00,Withdrawal,168.54,BookMyShow,Hyderabad,ATM,0
189,ACC00311,2025-08-15 23:59:00,Transfer,77.73,Flipkart,Bangalore,Online,0
190,ACC00027,2025-11-10 19:17:00,Deposit,39.85,DMart,Bangalore,POS,0
191,ACC00704,2025-01-14 11:05:00,Payment,115.99,Electronics Store,Ahmedabad,Online,0
192,ACC00189,2025-07-18 15:30:00,Withdrawal,426.84,Swiggy,Bangalore,Online,1
193,ACC00783,2025-01-08 08:26:00,Withdrawal,224.55,Flipkart,Bangalore,Online,0
194,ACC00978,2025-08-13 19:31:00,Transfer,52.16,BookMyShow,Bangalore,Branch,0
195,ACC00043,2025-11-08 23:52:00,Payment,215.55,DMart,Pune,Mobile,0
196,ACC00586,2025-11-01 17:33:00,Purchase,266.48,Myntra,Mumbai,POS,0
197,ACC00899,2025-01-22 07:33:00,Deposit,74.9,Reliance,Kolkata,Branch,0
198,ACC00784,2025-11-19 01:12:00,Transfer,211.39,Zomato,Pune,Branch,0
199,ACC00293,2025-08-25 05:27:00,Transfer,192.14,Electronics Store,Kolkata,POS,0
200,ACC00146,2025-08-26 20:28:00,Purchase,57.8,Walmart,Mumbai,POS,0
201,ACC00961,2025-12-23 17:08:00,Payment,259.25,Myntra,Hyderabad,Branch,0
202,ACC00465,2025-10-30 22:57:00,Withdrawal,317.6,Zomato,Mumbai,Branch,0
203,ACC00665,2025-12-31 05:45:00,Purchase,535.42,Electronics Store,Mumbai,ATM,0
204,ACC00372,2025-02-13 16:45:00,Payment,519.99,BookMyShow,Delhi,POS,0
205,ACC00045,2025-03-29 10:36:00,Withdrawal,45.71,Walmart,Delhi,Online,0
206,ACC00053,2025-08-03 09:19:00,Payment,70.96,Flipkart,Delhi,Mobile,0
207,ACC00984,2025-04-14 00:39:00,Transfer,303.39,Myntra,Ahmedabad,ATM,0
208,ACC00557,2025-01-03 19:56:00,Payment,303.02,DMart,Bangalore,Online,0
209,ACC00465,2025-07-29 14:05:00,Deposit,303.4,Swiggy,Kolkata,POS,0
210,ACC00285,2025-11-14 20:35:00,Withdrawal,8541.84,Walmart,Delhi,ATM,0
211,ACC00358,2025-01-19 04:54:00,Purchase,320.82,Uber,Chennai,POS,0
212,ACC00051,2025-02-25 13:11:00,Withdrawal,564.29,Myntra,Delhi,Mobile,0
213,ACC00369,2025-01-19 02:49:00,Transfer,470.6,BookMyShow,Hyderabad,Mobile,0
214,ACC00777,2025-08-07 17:04:00,Transfer,347.72,Flipkart,Delhi,Branch,0
215,ACC00282,2025-06-18 16:26:00,Deposit,132.25,DMart,Bangalore,Online,0
216,ACC00586,2025-11-19 16:05:00,Payment,387.21,BookMyShow,Chennai,POS,0
217,ACC00325,2025-05-13 16:36:00,Deposit,83.69,DMart,Delhi,Mobile,0
218,ACC00533,2025-11-20 15:31:00,Withdrawal,143.05,Electronics Store,Bangalore,POS,0
219,ACC00199,2025-01-01 03:01:00,Payment,111.57,Travel Agency,Bangalore,ATM,0
220,ACC00425,2025-07-31 01:21:00,Transfer,196.74,Amazon,Bangalore,POS,0
221,ACC00707,2025-05-25 08:50:00,Purchase,1834.74,Reliance,Chennai,Mobile,0
222,ACC00786,2025-01-04 03:43:00,Transfer,28.01,Electronics Store,Pune,Mobile,0
223,ACC00984,2025-01-15 05:12:00,Transfer,360.06,Myntra,Ahmedabad,Mobile,0
224,ACC00662,2025-03-11 15:09:00,Payment,36.14,Myntra,Hyderabad,POS,0
225,ACC00424,2025-01-29 16:19:00,Deposit,113.08,Swiggy,Kolkata,Mobile,0
226,ACC00340,2025-07-01 02:09:00,Transfer,538.59,BookMyShow,Hyderabad,ATM,0
227,ACC00863,2025-03-26 18:38:00,Payment,193.31,Travel Agency,Mumbai,Online,0
228,ACC00723,2025-06-11 22:02:00,Transfer,61.7,Myntra,Mumbai,Branch,0
229,ACC00381,2025-08-20 09:13:00,Deposit,88.65,Flipkart,Delhi,Mobile,0
230,ACC00039,2025-04-14 02:28:00,Deposit,357.67,Reliance,Ahmedabad,ATM,0
231,ACC00349,2025-09-05 23:55:00,Deposit,87.32,Walmart,Hyderabad,Mobile,0
232,ACC00101,2025-09-22 21:08:00,Withdrawal,225.08,BookMyShow,Ahmedabad,ATM,0
233,ACC00535,2025-03-01 00:19:00,Purchase,189.72,Uber,Mumbai,POS,0
234,ACC00048,2025-02-22 16:49:00,Transfer,94.48,Local Store,Chennai,ATM,0
235,ACC00329,2025-04-13 06:18:00,Transfer,1546.8,Travel Agency,Hyderabad,POS,0
236,ACC00121,2025-05-20 04:10:00,Transfer,341.7,DMart,Kolkata,ATM,0
237,ACC00105,2025-04-16 17:22:00,Deposit,23.92,Walmart,Chennai,Mobile,0
238,ACC00824,2025-05-26 18:15:00,Withdrawal,218.43,DMart,Chennai,ATM,0
239,ACC00554,2025-08-16 01:08:00,Purchase,93.52,Flipkart,Kolkata,Branch,0
240,ACC00089,2025-08-07 12:11:00,Deposit,425.15,DMart,Ahmedabad,POS,0
241,ACC00341,2025-04-12 22:48:00,Deposit,82.06,DMart,Ahmedabad,ATM,0
242,ACC00833,2025-12-24 14:06:00,Payment,161.62,Myntra,Ahmedabad,Mobile,0
243,ACC00230,2025-03-15 19:16:00,Transfer,300.36,Electronics Store,Delhi,Branch,0
244,ACC00339,2025-06-16 14:31:00,Purchase,430.85,Flipkart,Ahmedabad,ATM,0
245,ACC00473,2025-03-29 09:49:00,Transfer,54.58,Reliance,Delhi,POS,0
246,ACC00838,2025-02-24 10:35:00,Purchase,129.74,BookMyShow,Ahmedabad,Mobile,0
247,ACC00245,2025-11-14 07:35:00,Withdrawal,112.74,Flipkart,Pune,Branch,0
248,ACC00834,2025-12-22 18:27:00,Payment,94.32,Reliance,Hyderabad,POS,0
249,ACC00178,2025-12-06 21:04:00,Deposit,1059.4,DMart,Mumbai,Branch,0
250,ACC00334,2025-10-12 03:52:00,Payment,271.78,BookMyShow,Chennai,Online,0
251,ACC00112,2025-12-17 19:49:00,Payment,51.37,Local Store,Ahmedabad,Mobile,0
252,ACC00093,2025-04-22 04:56:00,Deposit,453.89,Local Store,Delhi,ATM,0
253,ACC00545,2025-05-30 12:39:00,Deposit,1513.46,Swiggy,Bangalore,Branch,0
254,ACC00325,2025-06-03 18:50:00,Transfer,509.01,Flipkart,Hyderabad,Branch,0
255,ACC00627,2025-09-19 12:54:00,Withdrawal,39.67,Uber,Kolkata,Mobile,0
256,ACC00992,2025-01-28 00:45:00,Deposit,111.69,Zomato,Mumbai,Mobile,0
257,ACC00241,2025-08-10 22:37:00,Payment,643.49,BookMyShow,Pune,Mobile,0
258,ACC00559,2025-04-19 21:11:00,Payment,89.33,Reliance,Bangalore,Online,0
259,ACC00947,2025-07-04 13:09:00,Transfer,282.54,Amazon,Delhi,Online,0
260,ACC00017,2025-03-15 23:56:00,Payment,393.32,Flipkart,Delhi,Branch,0
261,ACC00826,2025-08-01 14:57:00,Deposit,71.74,Myntra,Delhi,Branch,0
262,ACC00566,2025-08-19 12:22:00,Withdrawal,170.8,DMart,Pune,Online,1
263,ACC00511,2025-05-02 22:32:00,Transfer,7.09,Amazon,Hyderabad,Branch,0
264,ACC00582,2025-09-05 22:23:00,Purchase,65.08,Electronics Store,Ahmedabad,POS,0
265,ACC00748,2025-09-27 08:29:00,Deposit,140.81,Swiggy,Mumbai,ATM,0
266,ACC00760,2025-12-06 21:04:00,Deposit,52.05,DMart,Chennai,POS,0
267,ACC00352,2025-10-01 00:30:00,Payment,927.42,DMart,Ahmedabad,POS,0
268,ACC00432,2025-06-30 09:18:00,Withdrawal,43.37,Electronics Store,Chennai,ATM,0
269,ACC00267,2025-02-01 20:30:00,Deposit,116.74,Local Store,Kolkata,Online,0
270,ACC00829,2025-11-16 00:18:00,Payment,206.59,Reliance,Delhi,ATM,0
271,ACC00803,2025-05-23 08:08:00,Deposit,766.07,Zomato,Chennai,Mobile,1
272,ACC00115,2025-11-06 05:58:00,Deposit,43.13,Uber,Ahmedabad,Online,0
273,ACC00268,2025-12-25 07:31:00,Withdrawal,580.08,Uber,Kolkata,POS,0
274,ACC00991,2025-03-16 19:59:00,Withdrawal,183.14,Travel Agency,Pune,Branch,0
275,ACC00677,2025-08-14 23:40:00,Withdrawal,67.93,Amazon,Hyderabad,Online,0
276,ACC00774,2025-03-01 01:10:00,Payment,287.75,Zomato,Ahmedabad,Branch,0
277,ACC00972,2025-09-30 07:24:00,Payment,221.2,Walmart,Chennai,Branch,0
278,ACC00446,2025-01-07 09:59:00,Payment,99.46,Reliance,Hyderabad,Branch,0
279,ACC00043,2025-02-19 17:40:00,Transfer,194.38,Uber,Chennai,Branch,0
280,ACC00822,2025-02-20 08:41:00,Deposit,123.31,Travel Agency,Ahmedabad,Branch,0
281,ACC00248,2025-12-11 18:49:00,Withdrawal,203.06,Local Store,Hyderabad,POS,0
282,ACC00185,2025-06-10 17:00:00,Purchase,351.47,BookMyShow,Kolkata,ATM,0
283,ACC00107,2025-12-17 14:22:00,Withdrawal,885.38,Swiggy,Chennai,Mobile,1
284,ACC00635,2025-02-17 01:38:00,Withdrawal,52.57,Electronics Store,Mumbai,POS,0
285,ACC00089,2025-11-06 04:24:00,Deposit,1530.02,Electronics Store,Mumbai,Online,0
286,ACC00302,2025-08-28 21:59:00,Purchase,25.74,Travel Agency,Chennai,Branch,0
287,ACC00926,2025-12-08 10:16:00,Withdrawal,155.74,Travel Agency,Chennai,ATM,0
288,ACC00398,2025-06-20 01:16:00,Transfer,326.46,Flipkart,Ahmedabad,Online,0
289,ACC00951,2025-04-13 19:25:00,Withdrawal,240.08,Walmart,Mumbai,Branch,0
290,ACC00442,2025-04-22 19:41:00,Purchase,97.25,Flipkart,Chennai,Branch,0
291,ACC00073,2025-10-20 23:16:00,Payment,147.21,Walmart,Ahmedabad,ATM,0
292,ACC00001,2025-01-20 21:24:00,Transfer,110.72,BookMyShow,Hyderabad,Online,0
293,ACC00528,2025-12-29 15:30:00,Payment,100.55,Reliance,Mumbai,Branch,0
294,ACC00394,2025-12-19 15:07:00,Deposit,423.94,Uber,Hyderabad,POS,0
