account_id,customer_id,account_type
ACC00152,152,Savings
ACC00153,153,Savings
ACC00154,154,Current
ACC00155,155,Savings
ACC00156,156,Current
ACC00157,157,Savings
ACC00158,158,Current
ACC00159,159,Current
ACC00160,160,Current
ACC00161,161,Savings
ACC00162,162,Current
ACC00163,163,Savings
ACC00164,164,Savings
ACC00165,165,Savings
ACC00166,166,Savings
ACC00167,167,Savings
ACC00168,168,Current
ACC00169,169,Savings
ACC00170,170,Current
ACC00171,171,Current
ACC00172,172,Current
ACC00173,173,Current
ACC00174,174,Savings
ACC00175,175,Current
ACC00176,176,Savings
ACC00177,177,Current
ACC00178,178,Savings
ACC00179,179,Current
ACC00180,180,Current
ACC00181,181,Savings
ACC00182,182,Current
ACC00183,183,Current
ACC00184,184,Current
ACC00185,185,Savings
ACC00186,186,Savings
ACC00187,187,Savings
ACC00188,188,Savings
ACC00189,189,Current
ACC00190,190,Savings
ACC00191,191,Savings
ACC00192,192,Current
ACC00193,193,Savings
ACC00194,194,Current
ACC00195,195,Savings
ACC00196,196,Current
ACC00197,197,Current
ACC00198,198,Savings
ACC00199,199,Savings
ACC00200,200,Savings
ACC00201,201,Current
ACC00202,202,Current
ACC00203,203,Savings
ACC00204,204,Savings
ACC00205,205,Current
ACC00206,206,Savings
ACC00207,207,Savings
ACC00208,208,Savings
ACC00209,209,Current
ACC00210,210,Current
ACC00211,211,Current
ACC00212,212,Savings
ACC00213,213,Savings
ACC00214,214,Savings
ACC00215,215,Current
ACC00216,216,Savings
ACC00217,217,Savings
ACC00218,218,Current
ACC00219,219,Savings
ACC00220,220,Savings
ACC00221,221,Current
ACC00222,222,Current
ACC00223,223,Current
ACC00224,224,Current
ACC00225,225,Current
ACC00226,226,Current
ACC00227,227,Current
ACC00228,228,Current
ACC00229,229,Savings
ACC00230,230,Savings
ACC00231,231,Savings
ACC00232,232,Savings
ACC00233,233,Savings
ACC00234,234,Savings
ACC00235,235,Savings
ACC00236,236,Savings
ACC00237,237,Current
ACC00238,238,Current
ACC00239,239,Current
ACC00240,240,Current
ACC00241,241,Savings
ACC00242,242,Current
ACC00243,243,Savings
ACC00244,244,Current
ACC00245,245,Current
ACC00246,246,Current
ACC00247,247,Current
ACC00248,248,Savings
ACC00249,249,Savings
ACC00250,250,Savings
ACC00251,251,Current
ACC00252,252,Savings
ACC00253,253,Savings
ACC00254,254,Current
ACC00255,255,Savings
ACC00256,256,Savings
ACC00257,257,Savings
ACC00258,258,Current
ACC00259,259,Current
ACC00260,260,Savings
ACC00261,261,Current
ACC00262,262,Current
ACC00263,263,Savings
ACC00264,264,Savings
ACC00265,265,Current
ACC00266,266,Current
ACC00267,267,Savings
ACC00268,268,Savings
ACC00269,269,Current
ACC00270,270,Savings
ACC00271,271,Savings
ACC00272,272,Savings
ACC00273,273,Savings
ACC00274,274,Savings
ACC00275,275,Savings
ACC00276,276,Savings
ACC00277,277,Savings
ACC00278,278,Current
ACC00279,279,Current
ACC00280,280,Savings
ACC00281,281,Current
ACC00282,282,Savings
ACC00283,283,Savings
ACC00284,284,Savings
ACC00285,285,Savings
ACC00286,286,Current
ACC00287,287,Savings
ACC00288,288,Savings
ACC00289,289,Current
ACC00290,290,Savings
ACC00291,291,Savings
ACC00292,292,Current
ACC00293,293,Savings
ACC00294,294,Savings
ACC00295,295,Current
ACC00296,296,Current
ACC00297,297,Current
ACC00298,298,Savings
ACC00299,299,Current
ACC00300,300,Current
ACC00301,301,Savings
ACC00302,302,Current
ACC00303,303,Savings
ACC00304,304,Savings
ACC00305,305,Current
ACC00306,306,Current
ACC00307,307,Current
ACC00308,308,Savings
ACC00309,309,Savings
ACC00310,310,Savings
ACC00311,311,Current
ACC00312,312,Current
ACC00313,313,Current
ACC00314,314,Current
ACC00315,315,Savings
ACC00316,316,Savings
ACC00317,317,Current
ACC00318,318,Current
ACC00319,319,Savings
ACC00320,320,Current
ACC00321,321,Savings
ACC00322,322,Savings
ACC00323,323,Savings
ACC00324,324,Current
ACC00325,325,Current
ACC00326,326,Current
ACC00327,327,Current
ACC00328,328,Current
ACC00329,329,Current
ACC00330,330,Current
ACC00331,331,Current
ACC00332,332,Savings
ACC00333,333,Savings
ACC00334,334,Current
ACC00335,335,Savings
ACC00336,336,Savings
ACC00337,337,Current
ACC00338,338,Savings
ACC00339,339,Current
ACC00340,340,Current
ACC00341,341,Savings
ACC00342,342,Savings
ACC00343,343,Savings
ACC00344,344,Savings
ACC00345,345,Savings
ACC00346,346,Current
ACC00347,347,Savings
ACC00348,348,Savings
ACC00349,349,Current
ACC00350,350,Current
ACC00351,351,Savings
ACC00352,352,Savings
ACC00353,353,Savings
ACC00354,354,Current
ACC00355,355,Current
ACC00356,356,Savings
ACC00357,357,Current
ACC00358,358,Savings
ACC00359,359,Savings
ACC00360,360,Current
ACC00361,361,Current
ACC00362,362,Savings
ACC00363,363,Current
ACC00364,364,Savings
ACC00365,365,Savings
ACC00366,366,Savings
ACC00367,367,Savings
ACC00368,368,Savings
ACC00369,369,Savings
ACC00370,370,Current
ACC00371,371,Savings
ACC00372,372,Current
ACC00373,373,Savings
ACC00374,374,Savings
ACC00375,375,Current
ACC00376,376,Savings
ACC00377,377,Current
ACC00378,378,Savings
ACC00379,379,Savings
ACC00380,380,Savings
ACC00381,381,Savings
ACC00382,382,Savings
ACC00383,383,Current
ACC00384,384,Savings
ACC00385,385,Current
ACC00386,386,Current
ACC00387,387,Savings
ACC00388,388,Current
ACC00389,389,Current
ACC00390,390,Current
ACC00391,391,Savings
ACC00392,392,Savings
ACC00393,393,Current
ACC00394,394,Current
ACC00395,395,Current
ACC00396,396,Savings
ACC00397,397,Current
ACC00398,398,Savings
ACC00399,399,Savings
ACC00400,400,Current
ACC00401,401,Current
ACC00402,402,Current
ACC00403,403,Savings
ACC00404,404,Savings
ACC00405,405,Savings
ACC00406,406,Current
ACC00407,407,Savings
ACC00408,408,Savings
ACC00409,409,Current
ACC00410,410,Savings
ACC00411,411,Savings
ACC00412,412,Current
ACC00413,413,Savings
ACC00414,414,Current
ACC00415,415,Savings
ACC00416,416,Savings
ACC00417,417,Current
ACC00418,418,Current
ACC00419,419,Savings
ACC00420,420,Savings
ACC00421,421,Current
ACC00422,422,Current
ACC00423,423,Savings
ACC00424,424,Current
ACC00425,425,Savings
ACC00426,426,Savings
ACC00427,427,Savings
ACC00428,428,Current
ACC00429,429,Current
ACC00430,430,Savings
ACC00431,431,Savings
ACC00432,432,Savings
ACC00433,433,Current
ACC00434,434,Current
ACC00435,435,Current
ACC00436,436,Savings
ACC00437,437,Current
ACC00438,438,Current
ACC00439,439,Current
ACC00440,440,Current
ACC00441,441,Current
ACC00442,442,Savings
ACC00443,443,Current
ACC00444,444,Savings
ACC00445,445,Savings
ACC00446,446,Current
ACC00447,447,Savings
ACC00448,448,Savings
ACC00449,449,Current
ACC00450,450,Savings
ACC00451,451,Current
ACC00452,452,Current
ACC00453,453,Savings
ACC00454,454,Savings
ACC00455,455,Current
ACC00456,456,Savings
ACC00457,457,Current
ACC00458,458,Savings
ACC00459,459,Savings
ACC00460,460,Savings
ACC00461,461,Current
ACC00462,462,Current
ACC00463,463,Savings
ACC00464,464,Current
ACC00465,465,Savings
ACC00466,466,Current
ACC00467,467,Savings
ACC00468,468,Savings
ACC00469,469,Savings
ACC00470,470,Current
ACC00471,471,Savings
ACC00472,472,Savings
ACC00473,473,Current
ACC00474,474,Current
ACC00475,475,Current
ACC00476,476,Current
ACC00477,477,Savings
ACC00478,478,Savings
ACC00479,479,Savings
ACC00480,480,Current
ACC00481,481,Current
ACC00482,482,Savings
ACC00483,483,Savings
ACC00484,484,Current
ACC00485,485,Savings
ACC00486,486,Current
ACC00487,487,Savings
ACC00488,488,Current
ACC00489,489,Current
ACC00490,490,Savings
ACC00491,491,Savings
ACC00492,492,Savings
ACC00493,493,Savings
ACC00494,494,Savings
ACC00495,495,Current
ACC00496,496,Savings
ACC00497,497,Current
ACC00498,498,Savings
ACC00499,499,Current
ACC00500,500,Current
ACC00501,501,Current
ACC00502,502,Current
ACC00503,503,Current
ACC00504,504,Savings
ACC00505,505,Current
ACC00506,506,Savings
ACC00507,507,Current
ACC00508,508,Current
ACC00509,509,Current
ACC00510,510,Savings
ACC00511,511,Current
ACC00512,512,Savings
ACC00513,513,Current
ACC00514,514,Current
ACC00515,515,Current
ACC00516,516,Current
ACC00517,517,Savings
ACC00518,518,Current
ACC00519,519,Savings
ACC00520,520,Savings
ACC00521,521,Savings
ACC00522,522,Savings
ACC00523,523,Current
ACC00524,524,Current
ACC00525,525,Savings
ACC00526,526,Savings
ACC00527,527,Current
ACC00528,528,Current
ACC00529,529,Current
ACC00530,530,Savings
ACC00531,531,Current
ACC00532,532,Current
ACC00533,533,Savings
ACC00534,534,Current
ACC00535,535,Savings
ACC00536,536,Savings
ACC00537,537,Savings
ACC00538,538,Current
ACC00539,539,Savings
ACC00540,540,Savings
ACC00541,541,Savings
ACC00542,542,Savings
ACC00543,543,Savings
ACC00544,544,Savings
ACC00545,545,Current
ACC00546,546,Savings
ACC00547,547,Current
ACC00548,548,Savings
ACC00549,549,Savings
ACC00550,550,Current
ACC00551,551,Current
ACC00552,552,Savings
ACC00553,553,Savings
ACC00554,554,Current
ACC00555,555,Current
ACC00556,556,Current
ACC00557,557,Current
ACC00558,558,Current
ACC00559,559,Savings
ACC00560,560,Current
ACC00561,561,Savings
ACC00562,562,Current
ACC00563,563,Savings
ACC00564,564,Savings
ACC00565,565,Savings
ACC00566,566,Savings
ACC00567,567,Savings
ACC00568,568,Current
ACC00569,569,Current
ACC00570,570,Current
ACC00571,571,Current
ACC00572,572,Current
ACC00573,573,Current
ACC00574,574,Current
ACC00575,575,Savings
ACC00576,576,Savings
ACC00577,577,Current
ACC00578,578,Current
ACC00579,579,Savings
ACC00580,580,Current
ACC00581,581,Savings
ACC00582,582,Current
ACC00583,583,Current
ACC00584,584,Savings
ACC00585,585,Savings
ACC00586,586,Current
ACC00587,587,Current
ACC00588,588,Current
ACC00589,589,Savings
ACC00590,590,Current
ACC00591,591,Current
ACC00592,592,Current
ACC00593,593,Current
ACC00594,594,Current
ACC00595,595,Savings
ACC00596,596,Savings
ACC00597,597,Savings
ACC00598,598,Current
ACC00599,599,Current
ACC00600,600,Current
ACC00601,601,Current
ACC00602,602,Current
ACC00603,603,Savings
ACC00604,604,Savings
ACC00605,605,Current
ACC00606,606,Savings
ACC00607,607,Current
ACC00608,608,Current
ACC00609,609,Current
ACC00610,610,Savings
ACC00611,611,Savings
ACC00612,612,Savings
ACC00613,613,Current
ACC00614,614,Current
ACC00615,615,Savings
ACC00616,616,Savings
ACC00617,617,Savings
ACC00618,618,Savings
ACC00619,619,Savings
ACC00620,620,Savings
ACC00621,621,Savings
ACC00622,622,Savings
ACC00623,623,Current
ACC00624,624,Savings
ACC00625,625,Current
ACC00626,626,Savings
ACC00627,627,Current
ACC00628,628,Current
ACC00629,629,Current
ACC00630,630,Current
ACC00631,631,Savings
ACC00632,632,Savings
ACC00633,633,Savings
ACC00634,634,Current
ACC00635,635,Current
ACC00636,636,Current
ACC00637,637,Savings
ACC00638,638,Current
ACC00639,639,Current
ACC00640,640,Current
ACC00641,641,Savings
ACC00642,642,Current
ACC00643,643,Savings
ACC00644,644,Current
ACC00645,645,Savings
ACC00646,646,Current
ACC00647,647,Savings
ACC00648,648,Savings
ACC00649,649,Savings
ACC00650,650,Savings
ACC00651,651,Savings
ACC00652,652,Savings
ACC00653,653,Current
ACC00654,654,Current
ACC00655,655,Savings
ACC00656,656,Savings
ACC00657,657,Current
ACC00658,658,Savings
ACC00659,659,Savings
ACC00660,660,Savings
ACC00661,661,Savings
ACC00662,662,Current
ACC00663,663,Current
ACC00664,664,Current
ACC00665,665,Current
ACC00666,666,Current
ACC00667,667,Current
ACC00668,668,Current
ACC00669,669,Current
ACC00670,670,Savings
ACC00671,671,Current
ACC00672,672,Current
ACC00673,673,Current
ACC00674,674,Savings
ACC00675,675,Savings
ACC00676,676,Current
ACC00677,677,Current
ACC00678,678,Current
ACC00679,679,Savings
ACC00680,680,Current
ACC00681,681,Savings
ACC00682,682,Current
ACC00683,683,Current
ACC00684,684,Current
ACC00685,685,Current
ACC00686,686,Current
ACC00687,687,Current
ACC00688,688,Savings
ACC00689,689,Savings
ACC00690,690,Savings
ACC00691,691,Savings
ACC00692,692,Current
ACC00693,693,Current
ACC00694,694,Savings
ACC00695,695,Savings
ACC00696,696,Current
ACC00697,697,Current
ACC00698,698,Current
ACC00699,699,Current
ACC00700,700,Current
ACC00701,701,Current
ACC00702,702,Savings
ACC00703,703,Savings
ACC00704,704,Current
ACC00705,705,Savings
ACC00706,706,Current
ACC00707,707,Current
ACC00708,708,Current
ACC00709,709,Savings
ACC00710,710,Savings
ACC00711,711,Current
ACC00712,712,Savings
ACC00713,713,Current
ACC00714,714,Savings
ACC00715,715,Current
ACC00716,716,Savings
ACC00717,717,Current
ACC00718,718,Savings
ACC00719,719,Savings
ACC00720,720,Current
ACC00721,721,Savings
ACC00722,722,Current
ACC00723,723,Current
ACC00724,724,Current
ACC00725,725,Current
ACC00726,726,Current
ACC00727,727,Current
ACC00728,728,Current
ACC00729,729,Savings
ACC00730,730,Current
ACC00731,731,Savings
ACC00732,732,Savings
ACC00733,733,Current
ACC00734,734,Savings
ACC00735,735,Savings
ACC00736,736,Current
ACC00737,737,Current
ACC00738,738,Current
ACC00739,739,Savings
ACC00740,740,Savings
ACC00741,741,Savings
ACC00742,742,Savings
ACC00743,743,Current
ACC00744,744,Current
ACC00745,745,Current
ACC00746,746,Savings
ACC00747,747,Current
ACC00748,748,Savings
ACC00749,749,Savings
ACC00750,750,Current
ACC00751,751,Current
ACC00752,752,Savings
ACC00753,753,Current
ACC00754,754,Savings
ACC00755,755,Savings
ACC00756,756,Current
ACC00757,757,Current
ACC00758,758,Savings
ACC00759,759,Savings
ACC00760,760,Savings
ACC00761,761,Current
ACC00762,762,Savings
ACC00763,763,Savings
ACC00764,764,Current
ACC00765,765,Current
ACC00766,766,Current
ACC00767,767,Current
ACC00768,768,Current
ACC00769,769,Current
ACC00770,770,Savings
ACC00771,771,Savings
ACC00772,772,Savings
ACC00773,773,Current
ACC00774,774,Savings
ACC00775,775,Current
ACC00776,776,Savings
ACC00777,777,Savings
ACC00778,778,Savings
ACC00779,779,Savings
ACC00780,780,Savings
ACC00781,781,Current
ACC00782,782,Current
ACC00783,783,Savings
ACC00784,784,Savings
ACC00785,785,Current
ACC00786,786,Current
ACC00787,787,Savings
ACC00788,788,Savings
ACC00789,789,Savings
ACC00790,790,Current
ACC00791,791,Current
ACC00792,792,Current
ACC00793,793,Current
ACC00794,794,Current
ACC00795,795,Savings
ACC00796,796,Current
ACC00797,797,Current
ACC00798,798,Current
ACC00799,799,Savings
ACC00800,800,Savings
ACC00801,801,Current
ACC00802,802,Savings
ACC00803,803,Savings
ACC00804,804,Savings
ACC00805,805,Savings
ACC00806,806,Savings
ACC00807,807,Savings
ACC00808,808,Savings
ACC00809,809,Savings
ACC00810,810,Current
ACC00811,811,Savings
ACC00812,812,Current
ACC00813,813,Current
ACC00814,814,Savings
ACC00815,815,Savings
ACC00816,816,Savings
ACC00817,817,Savings
ACC00818,818,Savings
ACC00819,819,Savings
ACC00820,820,Current
ACC00821,821,Current
ACC00822,822,Current
ACC00823,823,Savings
ACC00824,824,Current
ACC00825,825,Current
ACC00826,826,Savings
ACC00827,827,Savings
ACC00828,828,Savings
ACC00829,829,Current
ACC00830,830,Current
ACC00831,831,Savings
ACC00832,832,Current
ACC00833,833,Savings
ACC00834,834,Current
ACC00835,835,Savings
ACC00836,836,Savings
ACC00837,837,Current
ACC00838,838,Savings
ACC00839,839,Savings
ACC00840,840,Current
ACC00841,841,Savings
ACC00842,842,Savings
ACC00843,843,Current
ACC00844,844,Savings
ACC00845,845,Current
ACC00846,846,Current
ACC00847,847,Current
ACC00848,848,Savings
ACC00849,849,Savings
ACC00850,850,Current
ACC00851,851,Savings
ACC00852,852,Current
ACC00853,853,Current
ACC00854,854,Savings
ACC00855,855,Savings
ACC00856,856,Savings
ACC00857,857,Savings
ACC00858,858,Savings
ACC00859,859,Current
ACC00860,860,Savings
ACC00861,861,Savings
ACC00862,862,Savings
ACC00863,863,Savings
ACC00864,864,Current
ACC00865,865,Savings
ACC00866,866,Current
ACC00867,867,Current
ACC00868,868,Current
ACC00869,869,Current
ACC00870,870,Savings
ACC00871,871,Savings
ACC00872,872,Savings
ACC00873,873,Savings
ACC00874,874,Current
ACC00875,875,Current
ACC00876,876,Current
ACC00877,877,Current
ACC00878,878,Savings
ACC00879,879,Savings
ACC00880,880,Savings
ACC00881,881,Savings
ACC00882,882,Savings
ACC00883,883,Savings
ACC00884,884,Current
ACC00885,885,Current
ACC00886,886,Current
ACC00887,887,Current
ACC00888,888,Savings
ACC00889,889,Current
ACC00890,890,Current
ACC00891,891,Savings
ACC00892,892,Savings
ACC00893,893,Current
ACC00894,894,Current
ACC00895,895,Current
ACC00896,896,Current
ACC00897,897,Current
ACC00898,898,Current
ACC00899,899,Current
ACC00900,900,Savings
ACC00901,901,Savings
ACC00902,902,Savings
ACC00903,903,Savings
ACC00904,904,Savings
ACC00905,905,Savings
ACC00906,906,Current
ACC00907,907,Current
ACC00908,908,Current
ACC00909,909,Savings
ACC00910,910,Current
ACC00911,911,Current
ACC00912,912,Savings
ACC00913,913,Savings
ACC00914,914,Current
ACC00915,915,Current
ACC00916,916,Savings
ACC00917,917,Current
ACC00918,918,Current
ACC00919,919,Savings
ACC00920,920,Savings
ACC00921,921,Current
ACC00922,922,Current
ACC00923,923,Savings
ACC00924,924,Savings
ACC00925,925,Current
ACC00926,926,Savings
ACC00927,927,Current
ACC00928,928,Savings
ACC00929,929,Current
ACC00930,930,Current
ACC00931,931,Current
ACC00932,932,Savings
ACC00933,933,Savings
ACC00934,934,Savings
ACC00935,935,Savings
ACC00936,936,Current
ACC00937,937,Current
ACC00938,938,Savings
ACC00939,939,Savings
ACC00940,940,Current
ACC00941,941,Current
ACC00942,942,Savings
ACC00943,943,Current
ACC00944,944,Current
ACC00945,945,Savings
ACC00946,946,Savings
ACC00947,947,Current
ACC00948,948,Current
ACC00949,949,Savings
ACC00950,950,Savings
ACC00951,951,Current
ACC00952,952,Current
ACC00953,953,Current
ACC00954,954,Savings
ACC00955,955,Current
ACC00956,956,Current
ACC00957,957,Current
ACC00958,958,Savings
ACC00959,959,Current
ACC00960,960,Savings
ACC00961,961,Savings
ACC00962,962,Current
ACC00963,963,Current
ACC00964,964,Savings
ACC00965,965,Savings
ACC00966,966,Savings
ACC00967,967,Current
ACC00968,968,Savings
ACC00969,969,Current
ACC00970,970,Current
ACC00971,971,Current
ACC00972,972,Savings
ACC00973,973,Savings
ACC00974,974,Current
ACC00975,975,Current
ACC00976,976,Current
ACC00977,977,Current
ACC00978,978,Current
ACC00979,979,Savings
ACC00980,980,Savings
ACC00981,981,Savings
ACC00982,982,Savings
ACC00983,983,Current
ACC00984,984,Current
ACC00985,985,Current
ACC00986,986,Current
ACC00987,987,Savings
ACC00988,988,Savings
ACC00989,989,Savings
ACC00990,990,Current
ACC00991,991,Savings
ACC00992,992,Current
ACC00993,993,Savings
ACC00994,994,Current
ACC00995,995,Savings
ACC00996,996,Savings
ACC00997,997,Savings
ACC00998,998,Current
ACC00999,999,Savings
ACC01000,1000,Current
